t=2019-11-26T23:09:44-0800 lvl=info msg="no configuration paths supplied"
t=2019-11-26T23:09:44-0800 lvl=info msg="using configuration at default config path" path=/home/pi/.ngrok2/ngrok.yml
t=2019-11-26T23:09:44-0800 lvl=info msg="open config file" path=/home/pi/.ngrok2/ngrok.yml err=nil
t=2019-11-26T23:09:44-0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2019-11-26T23:09:45-0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2019-11-26T23:09:45-0800 lvl=info msg="client session established" obj=csess id=892ed20e5f80
t=2019-11-26T23:09:45-0800 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://localhost:3000 url=http://0157fd93.ngrok.io
t=2019-11-26T23:09:45-0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://0157fd93.ngrok.io
t=2019-11-27T05:13:12-0800 lvl=info msg="join connections" obj=join id=ec00ba395e58 l=[::1]:3000 r=18.209.60.34:34428
t=2019-11-27T05:13:47-0800 lvl=info msg="join connections" obj=join id=ad14842321f5 l=[::1]:3000 r=3.88.8.76:51656
t=2019-11-27T05:13:47-0800 lvl=info msg="join connections" obj=join id=ae0469c93e12 l=[::1]:3000 r=107.20.90.166:51398
t=2019-11-27T05:14:13-0800 lvl=info msg="join connections" obj=join id=4943762b8171 l=[::1]:3000 r=54.144.233.101:53316
t=2019-11-27T05:14:14-0800 lvl=info msg="join connections" obj=join id=e1c400f4aa11 l=[::1]:3000 r=3.208.29.62:45528
t=2019-11-27T05:14:37-0800 lvl=info msg="join connections" obj=join id=c972c894e349 l=[::1]:3000 r=18.209.159.98:35774
t=2019-11-27T05:14:38-0800 lvl=info msg="join connections" obj=join id=1f905d80292d l=[::1]:3000 r=3.90.179.44:29670
t=2019-11-27T05:15:05-0800 lvl=info msg="join connections" obj=join id=1c7435352d95 l=[::1]:3000 r=107.20.90.166:60022
t=2019-11-27T05:15:05-0800 lvl=info msg="join connections" obj=join id=7f5ae817ab42 l=[::1]:3000 r=52.4.92.79:45662
t=2019-11-27T05:15:32-0800 lvl=info msg="join connections" obj=join id=0f0a5a783360 l=[::1]:3000 r=54.80.213.0:25530
t=2019-11-27T05:15:32-0800 lvl=info msg="join connections" obj=join id=aed468b112a3 l=[::1]:3000 r=18.209.60.34:25648
t=2019-11-27T05:16:07-0800 lvl=info msg="join connections" obj=join id=204bd74752a9 l=[::1]:3000 r=100.24.27.192:40106
t=2019-11-27T05:16:07-0800 lvl=info msg="join connections" obj=join id=15ec94c57c30 l=[::1]:3000 r=107.20.90.166:14632
t=2019-11-27T05:16:36-0800 lvl=info msg="join connections" obj=join id=8a995fae8046 l=[::1]:3000 r=54.80.213.0:30990
t=2019-11-27T05:16:36-0800 lvl=info msg="join connections" obj=join id=fc4eaf754935 l=[::1]:3000 r=54.210.143.156:61686
t=2019-11-27T05:17:10-0800 lvl=info msg="join connections" obj=join id=9e22ef3aea57 l=[::1]:3000 r=174.129.62.2:43306
t=2019-11-27T05:17:10-0800 lvl=info msg="join connections" obj=join id=d9d584a8969f l=[::1]:3000 r=3.81.137.80:63890
t=2019-11-27T05:17:59-0800 lvl=info msg="join connections" obj=join id=f22659f2e12c l=[::1]:3000 r=54.80.92.90:23356
t=2019-11-27T05:18:09-0800 lvl=info msg="join connections" obj=join id=8e4d53d6d3a4 l=[::1]:3000 r=3.90.179.44:49888
t=2019-11-27T05:18:21-0800 lvl=info msg="join connections" obj=join id=6b78917e4dbc l=[::1]:3000 r=3.81.114.189:53636
t=2019-11-27T05:24:24-0800 lvl=info msg="join connections" obj=join id=35db48bdc6fd l=[::1]:3000 r=3.81.137.80:60782
t=2019-11-27T06:16:46-0800 lvl=info msg="join connections" obj=join id=9a618165cbab l=[::1]:3000 r=54.83.135.129:56524
t=2019-11-27T06:35:41-0800 lvl=info msg="join connections" obj=join id=b34fc9b7ef41 l=[::1]:3000 r=54.236.20.156:24888
t=2019-11-27T06:37:04-0800 lvl=info msg="join connections" obj=join id=53cf890e3009 l=[::1]:3000 r=3.90.179.44:40222
t=2019-11-27T08:16:10-0800 lvl=info msg="join connections" obj=join id=10e7d838b8ad l=[::1]:3000 r=3.90.179.44:27882
t=2019-11-27T08:16:11-0800 lvl=info msg="join connections" obj=join id=0ac57820b2d0 l=[::1]:3000 r=100.24.27.192:51606
t=2019-11-27T08:20:26-0800 lvl=info msg="join connections" obj=join id=8df2577b7989 l=[::1]:3000 r=18.212.159.231:27706
t=2019-11-27T08:21:12-0800 lvl=info msg="join connections" obj=join id=0e3a9dba074f l=[::1]:3000 r=107.20.90.166:42658
t=2019-11-27T08:31:23-0800 lvl=info msg="join connections" obj=join id=ce1148c0f29f l=[::1]:3000 r=52.90.104.76:40398
t=2019-11-27T08:31:24-0800 lvl=info msg="join connections" obj=join id=4f334893fdb9 l=[::1]:3000 r=34.201.116.181:32334
t=2019-11-27T08:33:12-0800 lvl=info msg="join connections" obj=join id=4fc33c8bc69f l=[::1]:3000 r=35.153.100.34:49282
t=2019-11-27T08:33:31-0800 lvl=info msg="join connections" obj=join id=50d6d46ecef1 l=[::1]:3000 r=107.20.90.166:29490
t=2019-11-27T09:07:07-0800 lvl=info msg="join connections" obj=join id=05cb2823f730 l=[::1]:3000 r=54.82.2.204:51780
t=2019-11-27T10:41:52-0800 lvl=info msg="join connections" obj=join id=c6756ac0d130 l=[::1]:3000 r=174.129.62.2:49982
t=2019-11-27T10:43:34-0800 lvl=info msg="join connections" obj=join id=a9f771e38ad0 l=[::1]:3000 r=54.80.213.0:27654
t=2019-11-27T10:43:39-0800 lvl=info msg="join connections" obj=join id=f7293ad0c1c7 l=[::1]:3000 r=52.4.92.79:45350
t=2019-11-27T10:51:15-0800 lvl=info msg="join connections" obj=join id=1d19b8a78ced l=[::1]:3000 r=54.144.233.101:52572
t=2019-11-27T10:54:08-0800 lvl=info msg="join connections" obj=join id=87fcfb2b4e50 l=[::1]:3000 r=3.81.114.189:63950
t=2019-11-27T10:54:43-0800 lvl=info msg="join connections" obj=join id=17a2229b2694 l=[::1]:3000 r=54.80.213.0:59000
t=2019-11-27T10:54:50-0800 lvl=info msg="join connections" obj=join id=1393bff1edf3 l=[::1]:3000 r=18.212.159.231:35412
t=2019-11-27T10:55:24-0800 lvl=info msg="join connections" obj=join id=c018f3ab1dfa l=[::1]:3000 r=54.147.51.38:17210
t=2019-11-27T10:55:47-0800 lvl=info msg="join connections" obj=join id=be6c328a85d0 l=[::1]:3000 r=54.144.233.101:42818
t=2019-11-27T10:55:55-0800 lvl=info msg="join connections" obj=join id=cfc7992a6c85 l=[::1]:3000 r=3.81.114.189:32804
t=2019-11-27T10:56:07-0800 lvl=info msg="join connections" obj=join id=b9643ca8b79f l=[::1]:3000 r=3.90.179.44:25754
t=2019-11-27T10:56:10-0800 lvl=info msg="join connections" obj=join id=9ecbdbcfc2e7 l=[::1]:3000 r=54.226.214.16:24748
t=2019-11-27T10:56:38-0800 lvl=info msg="join connections" obj=join id=a29714ac3a4f l=[::1]:3000 r=52.4.92.79:27022
t=2019-11-27T10:56:42-0800 lvl=info msg="join connections" obj=join id=3989928ecc6e l=[::1]:3000 r=54.80.213.0:64240
t=2019-11-27T10:56:45-0800 lvl=info msg="join connections" obj=join id=916e29cef8bb l=[::1]:3000 r=100.24.27.192:23328
t=2019-11-27T10:56:52-0800 lvl=info msg="join connections" obj=join id=7f70e1189d0f l=[::1]:3000 r=54.90.136.152:27360
t=2019-11-27T10:56:58-0800 lvl=info msg="join connections" obj=join id=a756f45cf0a7 l=[::1]:3000 r=174.129.62.2:18208
t=2019-11-27T10:57:12-0800 lvl=info msg="join connections" obj=join id=94c35047d230 l=[::1]:3000 r=107.20.90.166:26792
t=2019-11-27T10:57:24-0800 lvl=info msg="join connections" obj=join id=8f2d87e27ba1 l=[::1]:3000 r=54.90.136.152:37388
t=2019-11-27T10:57:38-0800 lvl=info msg="join connections" obj=join id=40d7571bb2d4 l=[::1]:3000 r=3.81.114.189:24464
t=2019-11-27T10:58:28-0800 lvl=info msg="join connections" obj=join id=fbf1b79e79d0 l=[::1]:3000 r=54.90.136.152:53984
t=2019-11-27T10:58:42-0800 lvl=info msg="join connections" obj=join id=a37b66346143 l=[::1]:3000 r=54.82.2.204:15800
t=2019-11-27T10:58:46-0800 lvl=info msg="join connections" obj=join id=e0b02cc30034 l=[::1]:3000 r=3.90.179.44:46838
t=2019-11-27T10:59:10-0800 lvl=info msg="join connections" obj=join id=5e2b6e76b888 l=[::1]:3000 r=18.208.169.180:64634
t=2019-11-27T10:59:20-0800 lvl=info msg="join connections" obj=join id=c17134ced879 l=[::1]:3000 r=3.88.8.76:42272
t=2019-11-27T10:59:35-0800 lvl=info msg="join connections" obj=join id=41305bc12178 l=[::1]:3000 r=3.81.137.80:47300
t=2019-11-27T10:59:35-0800 lvl=info msg="join connections" obj=join id=42631ad5f05d l=[::1]:3000 r=18.207.152.24:43668
t=2019-11-27T10:59:41-0800 lvl=info msg="join connections" obj=join id=2968432871d3 l=[::1]:3000 r=54.83.135.129:18586
t=2019-11-27T10:59:41-0800 lvl=info msg="join connections" obj=join id=5ba4e419310b l=[::1]:3000 r=35.153.100.34:27624
t=2019-11-27T11:00:09-0800 lvl=info msg="join connections" obj=join id=e8f8be8c3c7f l=[::1]:3000 r=35.153.100.34:39252
t=2019-11-27T11:00:14-0800 lvl=info msg="join connections" obj=join id=e6b1c65b9e18 l=[::1]:3000 r=54.90.136.152:53176
t=2019-11-27T11:00:15-0800 lvl=info msg="join connections" obj=join id=0f7b897d10a0 l=[::1]:3000 r=54.144.233.101:12894
t=2019-11-27T11:00:15-0800 lvl=info msg="join connections" obj=join id=9ed37c21f262 l=[::1]:3000 r=54.236.20.156:58560
t=2019-11-27T11:00:24-0800 lvl=info msg="join connections" obj=join id=04f48b95cd61 l=[::1]:3000 r=54.236.20.156:14638
t=2019-11-27T11:00:31-0800 lvl=info msg="join connections" obj=join id=54df56176b96 l=[::1]:3000 r=54.82.2.204:41186
t=2019-11-27T11:00:35-0800 lvl=info msg="join connections" obj=join id=1f993b515915 l=[::1]:3000 r=100.24.27.192:49026
t=2019-11-27T11:01:22-0800 lvl=info msg="join connections" obj=join id=7360a0d59dfa l=[::1]:3000 r=54.82.2.204:56936
t=2019-11-27T11:02:02-0800 lvl=info msg="join connections" obj=join id=54f10c25e7e0 l=[::1]:3000 r=100.26.104.3:26576
t=2019-11-27T11:02:03-0800 lvl=info msg="join connections" obj=join id=d276c32f73bf l=[::1]:3000 r=18.208.169.180:27916
t=2019-11-27T11:02:16-0800 lvl=info msg="join connections" obj=join id=aa79d41c0624 l=[::1]:3000 r=54.82.2.204:25792
t=2019-11-27T11:02:34-0800 lvl=info msg="join connections" obj=join id=7a9f3856f4a7 l=[::1]:3000 r=54.226.214.16:34748
t=2019-11-27T11:02:42-0800 lvl=info msg="join connections" obj=join id=93b3deaaa234 l=[::1]:3000 r=54.210.143.156:32370
t=2019-11-27T11:02:50-0800 lvl=info msg="join connections" obj=join id=e58c71c338f4 l=[::1]:3000 r=54.236.20.156:25558
t=2019-11-27T11:02:56-0800 lvl=info msg="join connections" obj=join id=afe55ea7f968 l=[::1]:3000 r=107.20.90.166:29360
t=2019-11-27T11:03:01-0800 lvl=info msg="join connections" obj=join id=30dff884c81e l=[::1]:3000 r=3.208.29.62:46626
t=2019-11-27T11:03:03-0800 lvl=info msg="join connections" obj=join id=f85ed4db6538 l=[::1]:3000 r=54.144.233.101:56494
t=2019-11-27T11:03:06-0800 lvl=info msg="join connections" obj=join id=fabcfbb27b85 l=[::1]:3000 r=3.208.29.62:49042
t=2019-11-27T11:04:46-0800 lvl=info msg="join connections" obj=join id=f123e33f4bc5 l=[::1]:3000 r=54.210.143.156:14680
t=2019-11-27T11:06:06-0800 lvl=info msg="join connections" obj=join id=763eabbf0075 l=[::1]:3000 r=100.26.104.3:56572
t=2019-11-27T11:06:14-0800 lvl=info msg="join connections" obj=join id=85f0f31d06a4 l=[::1]:3000 r=3.81.137.80:45780
t=2019-11-27T11:06:25-0800 lvl=info msg="join connections" obj=join id=ab8d767bf359 l=[::1]:3000 r=54.80.213.0:13758
t=2019-11-27T11:07:06-0800 lvl=info msg="join connections" obj=join id=2930ac1bf76b l=[::1]:3000 r=100.26.104.3:18168
t=2019-11-27T11:07:52-0800 lvl=info msg="join connections" obj=join id=4cd9c24886dc l=[::1]:3000 r=54.90.136.152:27622
t=2019-11-27T11:08:37-0800 lvl=info msg="join connections" obj=join id=c58c29a3524a l=[::1]:3000 r=54.80.92.90:65514
t=2019-11-27T11:09:10-0800 lvl=info msg="join connections" obj=join id=93f28a6cbaf9 l=[::1]:3000 r=18.208.169.180:27762
t=2019-11-27T11:09:12-0800 lvl=info msg="join connections" obj=join id=6c66f41df3f4 l=[::1]:3000 r=54.147.51.38:53180
t=2019-11-27T11:09:14-0800 lvl=info msg="join connections" obj=join id=57907efdba9a l=[::1]:3000 r=18.209.60.34:23602
t=2019-11-27T11:09:32-0800 lvl=info msg="join connections" obj=join id=443f56312858 l=[::1]:3000 r=54.82.2.204:19686
t=2019-11-27T11:22:28-0800 lvl=info msg="join connections" obj=join id=fe01389b052c l=[::1]:3000 r=54.82.2.204:43732
t=2019-11-27T12:17:10-0800 lvl=info msg="join connections" obj=join id=558a9f791f73 l=[::1]:3000 r=35.153.100.34:40526
t=2019-11-27T12:18:20-0800 lvl=info msg="join connections" obj=join id=1ed2fcdeea65 l=[::1]:3000 r=54.226.214.16:50150
